name cell isolate
20191228_2_1 4dc9441c-7f8f-4bd9-abd1-e7b42a91756d colony
20191228_3_1 64d9d925-328a-430f-8ec7-bdd9039a4276 colony
20191226_1_1 9f030412-b942-4018-8321-9e2938702e53 colony
20191226_2_1 9f4023b1-3f0f-4fe2-89fa-b05766a8ceb2 colony
20191228_1_1 d7d37555-a5e3-49ef-acd9-32d8f8d984bc colony
20191226_3_1 de6346bc-d1cf-4108-8892-83106ff37cb9 colony
20191229_1_1 24eaa106-5fc7-41b4-829d-23341484753e colony
20191229_1_2 7f5eb7b3-7d2a-49cd-bc33-261980889882 colony
20191229_2_1 7989d4d3-302a-45ef-85de-410ccfe063f0 colony
20191229_3_1 82b32cfd-011f-4ca3-8fef-06b41a65a4ef colony
20191229_4_1 f483f3fb-88ca-4bfd-835a-fec87cf9ba78 colony
20191229_5_1 43d81272-dfea-456b-9b34-07efdcb3b493 colony
20191230_1_1 e5c4b412-f5ed-4292-9883-5db75dad27c8 colony
20191230_2_1 db6ce465-e53b-4dfd-865b-fa24a60f9a22 colony
20191230_3_1 7747dbae-948a-4368-a03e-ec6f4bb53971 colony
20191230_4_1 e363b132-16c4-4716-9799-b0465852e6a2 colony
20191230_5_1 78231289-689a-4f82-a56f-99332008fa37 colony
20191230_6_1 0976f281-643a-4c9d-b28b-4fc184b5d950 colony
20191230_7_1 66c3aaa8-b118-44e1-94e0-de2ed6a9a43c colony
20191230_8_1 79762c70-432a-4846-bc6f-da5e176934cc colony
20191231_1_1 78edfdc1-8045-4555-b565-315366378020 colony
20191231_1_2 2a170af9-d72c-45e0-8c21-81faa3c53003 colony
20191231_2_1 39edd6db-cd3b-4abe-8ac8-6d4f9e72d24e colony
20191231_3_1 42862924-3056-44fd-973e-95abfd42f81a colony
20191231_4_1 5862fd5a-149c-4257-a4eb-010c926c03c2 colony
20191231_5_1 5bd12d78-4336-473b-bcb6-8dfb9d577066 colony
20191231_6_1 c81a643a-14a0-4c94-bc01-584fc5a30b37 colony
20191231_6_2 e4ba09bb-6bc2-49ca-b3b7-be08b72cc126 colony
20191231_6_3 65d810a4-4701-43a1-81b3-029152435e44 colony
20191231_7_1 c31e8e0d-ed38-4d7a-ba50-f0e2742c797f colony
20191231_7_2 f077af1b-35cf-4e85-b37c-7e01f012158e colony
20200102_1_1 6d72cd49-6013-4e46-9fba-dc3db577617f colony
20200102_1_2 54728067-cbd3-466c-a8a1-db5bafb5af78 colony
20200102_1_3 6585b98b-2f42-478a-9056-8b87b1e8cc22 colony
20200102_2_1 045810e0-56af-46dd-a21e-768e13a3a9bc colony
20200102_2_2 08cc4a03-6298-4a6c-a899-0a0a9a7fe976 colony
20200102_3_1 40000be7-24bf-4ca6-ad8c-6d393794c5ff colony
20200102_3_2 5cd8048c-b523-446f-83d9-28bf4907e865 colony
20200102_4_1 363eeac0-caec-4227-b858-46a6392075e6 colony
20200102_5_1 f662312c-23fb-491c-8dc4-43a08cb10500 colony
20200102_5_2 630b6977-79b4-4564-bf72-532707f976f3 colony
20200120_1_1 0a46ff60-e807-4223-a9d9-59b9a005b101 colony
20200120_2_1 aca29a76-0ddd-41ca-85c1-dde2150fc6b1 colony
20200120_3_1 a85d902c-8b26-4d59-a948-f9c460716803 colony
20200120_4_1 494292e4-8b51-42d0-8c59-0c37ad9524e1 colony
20200120_5_1 8973d0fb-c572-4860-b569-e3975baeae1d colony
20200815_1_1 0db02609-6e69-4529-a195-fef0b45916ac colony
