image,bird,pm.length,pm.count,pm.density,nm.length,nm.count,nm.density,er.count,total.count,cytosol.area
3222 Cell14 8k,b4f2c63f,38.87364275,4,0.102897483,25.30707187,3,0.11854394,3,10,43.65730928
3222 Cell11 8k,b4f2c63f,37.32211685,7,0.18755635,26.89524655,2,0.074362583,8,17,29.83890619
3222 Cell12 8k,b4f2c63f,29.66132006,6,0.202283647,22.46512871,1,0.044513433,5,12,7.29503249
3222 Cell13 8k,b4f2c63f,18.0042308,3,0.166627502,9.49107503,5,0.526810713,2,10,11.0026589
3222 Cell5 8k,b4f2c63f,49.03754695,10,0.203925372,17.01245393,0,0,4,14,71.03020555
3222 Cell7 8k,b4f2c63f,43.08736185,4,0.092834646,24.2654571,0,0,3,7,64.1965006
3222 Cell6 8k,b4f2c63f,44.62874801,7,0.156849571,28.32328157,1,0.035306643,13,21,58.72791028
3222 Cell10 8k,b4f2c63f,37.65760624,4,0.106220241,23.5107006,2,0.085067648,7,13,41.57933516
3222 Cell1 10k,b4f2c63f,23.37115666,3,0.128363352,11.77968518,2,0.169783824,2,7,20.4352688
3222 Cell3 10k,b4f2c63f,37.04303327,2,0.053991259,24.16636564,3,0.124139477,3,8,42.19286897
3222 Cell8 8k,b4f2c63f,45.33313187,5,0.110294608,26.89408654,0,0,6,11,43.01925579
3222 Cell2 10k,b4f2c63f,26.5397418,4,0.150717367,15.39262632,1,0.064966171,0,5,21.46471656
3222 Cell15 15k,b4f2c63f,35.42185735,3,0.08469347,24.39485896,2,0.081984487,2,7,34.3094475
3222 Cell4 10k,b4f2c63f,31.64576674,3,0.094799409,24.96669137,2,0.08010673,3,8,22.69590194
3222 Cell9 8k,b4f2c63f,31.84998958,4,0.125588738,24.56354732,2,0.081421465,2,8,20.89220479
3222 Cell16 6kx,b4f2c63f,50.74700227,4,0.07882239,28.87654741,2,0.069260358,5,11,57.70302178
3222 Cell17 6kx,b4f2c63f,38.9532589,2,0.051343586,24.2854318,1,0.04117695,3,6,37.27327051
3222 Cell18 6kx,b4f2c63f,34.61248999,2,0.05778261,26.46583153,0,0,1,3,33.76458019
3222 Cell19 6kx,b4f2c63f,25.78676791,1,0.038779579,11.66085408,1,0.085757012,2,4,37.36696435
3222 Cell20 6kx,b4f2c63f,31.48600606,3,0.095280424,26.09111886,2,0.076654436,3,8,20.02349068
3222 Cell21 6kx,b4f2c63f,39.4452427,5,0.126757998,22.51074926,2,0.088846443,4,11,57.65383681
3222 Cell22 6kx,b4f2c63f,38.61528158,2,0.051792967,23.55052409,2,0.0849238,6,10,28.9990944
3222 Cell23 6kx,b4f2c63f,21.31764551,4,0.187637983,13.90345268,1,0.07192458,3,8,9.43648728
3222 Cell24 6kx,b4f2c63f,43.62569793,4,0.091689078,30.51652364,1,0.032769132,8,13,46.49020395
3222 Cell25 6kx,b4f2c63f,43.01054879,2,0.04650022,30.15020929,3,0.099501797,5,10,43.12459243
3294 Cell14 8kx,f8f8d76c,29.61582996,5,0.16882863,20.36330379,0,0,0,5,23.60316972
3294 Cell12 8kx,f8f8d76c,20.58539287,0,0,15.36318181,0,0,1,1,12.74142188
3294 Cell8 8kx,f8f8d76c,28.898026,2,0.06920888,15.79196311,2,0.126646699,4,8,35.21093859
3294 Cell3 8kx,f8f8d76c,36.27874333,4,0.110257402,26.95338363,1,0.037101093,1,6,29.79193784
3294 Cell10 8kx,f8f8d76c,36.28870415,4,0.110227138,22.79542867,0,0,1,5,30.96429619
3294 Cell7 8kx,f8f8d76c,35.7998757,2,0.055866116,21.54059975,0,0,2,4,51.63863729
3294 Cell11 8kx,f8f8d76c,30.83053226,1,0.032435379,19.62538663,0,0,3,4,25.5749603
3294 Cell1 8kx,f8f8d76c,44.10451069,0,0,28.02766039,0,0,3,3,53.23339132
3294 Cell2 8kx,f8f8d76c,27.9837155,0,0,19.40353627,1,0.051536997,2,3,19.92649993
3294 Cell13 8kx,f8f8d76c,32.89226874,1,0.030402281,22.12944342,1,0.045188665,1,3,25.84816382
3294 Cell16 8kx,f8f8d76c,32.13208944,5,0.155607683,13.50339933,1,0.074055427,0,6,41.69366117
3294 Cell18 8kx,f8f8d76c,26.48623968,6,0.226532723,8.16468065,0,0,2,8,33.46254448
3294 Cell15 8kx,f8f8d76c,23.55469338,2,0.084908768,20.33019602,1,0.049187917,4,7,10.04990002
3294 Cell17 8kx,f8f8d76c,33.7202852,2,0.059311479,19.77047783,0,0,4,6,43.61672351
3294 Cell6 8kx,f8f8d76c,39.30068316,1,0.02544485,16.60249455,1,0.060231913,1,3,39.47431191
3294 Cell20 6kx,ZF109,39.02673981,2,0.051246915,22.48563391,0,0,4,6,49.68489898
3294 Cell21 6kx,ZF109,40.44586827,4,0.098897617,19.32446391,0,0,4,8,41.32585269
3294 Cell22 6kx,ZF109,34.66148908,3,0.086551388,20.52401074,0,0,4,7,26.44528025
3294 Cell23 6kx,ZF109,38.63197982,2,0.05177058,17.42444696,1,0.057390631,7,10,67.65271568
3294 Cell25 6kx,ZF109,32.06485835,3,0.09356037,21.9556068,0,0,3,6,21.7853024
3294 Cell26 6kx,ZF109,24.49036079,1,0.040832392,16.90032361,1,0.059170465,3,5,19.74904717
3294 Cell27 6kx,ZF109,29.30047396,1,0.034129141,20.44352721,1,0.048915238,5,7,20.90441559
3294 Cell28 6kx,ZF109,25.6546442,0,0,9.0599507,0,0,4,4,35.04263248
3294 Cell29 6kx,ZF109,26.58862529,0,0,19.19221573,1,0.052104458,2,3,18.41200052
3294 Cell30 6kx,ZF109,23.7667875,2,0.084151045,18.7930709,1,0.053211101,3,6,12.34800561
3295 Cell10 8kx,4d97f046,31.65895763,0,0,20.00920334,1,0.049977002,2,3,38.8668876
3295 Cell9 8kx,4d97f046,34.12090432,1,0.029307547,17.75328834,1,0.056327593,2,4,37.04987016
3295 Cell4 10kx,4d97f046,25.48513862,1,0.039238554,17.64850122,1,0.056662035,1,3,19.75928623
3295 Cell1 10kx,4d97f046,27.58455839,0,0,20.50607027,0,0,1,1,19.15616469
3295 Cell2 10kx,4d97f046,20.51486207,3,0.146235446,14.43415413,1,0.069280125,1,5,11.72561952
3295 Cell7 8kx,4d97f046,26.38731596,0,0,17.06888723,0,0,0,0,25.49223382
3295 Cell14 8kx,4d97f046,43.50896127,0,0,21.92796203,1,0.045603873,1,2,75.64859279
3295 Cell12 8kx,4d97f046,45.43699881,0,0,23.4741578,0,0,2,2,44.36713219
3295 Cell3 10kx,4d97f046,38.06538017,1,0.02627059,21.07466889,0,0,0,1,45.59051957
3295 Cell6 8kx,4d97f046,38.07789542,1,0.026261956,24.66880534,1,0.040537026,1,3,30.33287239
3295 Cell15 8kx,4d97f046,28.68867747,1,0.034856957,20.54335724,1,0.048677535,1,3,22.35804148
3295 Cell11 8kx,4d97f046,28.86006097,1,0.034649961,19.55263923,0,0,2,3,27.42231157
3295 Cell8 8kx,4d97f046,19.14315992,1,0.05223798,16.14500862,0,0,0,1,5.47370775
3295 Cell5 8kx,4d97f046,32.06688707,1,0.031184817,24.73836826,0,0,1,2,23.50561081
3295 Cell13 8kx,4d97f046,29.57769813,1,0.033809257,20.15233372,0,0,1,2,26.59130998
3295 Cell16 6kx,4d97f046,35.89676669,0,0,24.13770983,0,0,3,3,40.49049854
3295 Cell17 6kx,4d97f046,28.15732522,0,0,22.17448423,2,0.090193755,0,2,22.26037148
3295 Cell18 6kx,4d97f046,25.67218403,0,0,12.73529598,0,0,1,1,26.48223208
3295 Cell19 6kx,4d97f046,22.22491275,0,0,11.96855772,0,0,1,1,19.94397283
3295 Cell21 6kx,4d97f046,19.61776714,1,0.050974201,17.00203365,0,0,0,1,5.05324816
3295 Cell22 6kx,4d97f046,22.52210498,1,0.044400823,18.56192894,0,0,1,2,8.92137119
3295 Cell24 6kx,4d97f046,16.78674851,1,0.059570798,13.96997479,0,0,0,1,3.84564718
3295 Cell25 6kx,4d97f046,38.56015749,2,0.051867008,23.82043185,0,0,2,4,32.47253287
3295 Cell26 6kx,4d97f046,29.79768388,0,0,17.46505187,0,0,2,2,30.58161832
3295 Cell27 6kx,4d97f046,33.56939019,0,0,21.88152873,1,0.045700646,3,4,41.82251669
3296 Cell12 8kx,bd25df74,31.31657226,0,0,16.48437449,0,0,1,1,35.93036852
3296 Cell4 8kx,bd25df74,39.36410657,1,0.025403854,26.39703215,0,0,3,4,45.52406144
