bird,sire,condition,sex,age
47b60895,purple_108,PR,U,34
5b2054c1,purple_22,AM,F,35
5dadb69b,cobalt_26,CR,U,33
a6763836,purple_58,BR,U,34
034f65a7,purple_108,PR,U,33
8e8125d7,purple_128,AM,U,35
6fe1e1e4,purple_29,BR,U,34
7ac71e92,cobalt_16,PR,M,34
4af7dc23,green_79,CR,U,35
ce6cab43,cobalt_6,AM,U,34
16de133a,purple_58,BR,M,35
f441a9f5,cobalt_3,CR,U,34
a0443a98,cobalt_16,PR,F,34
8e333913,purple_6,CR,U,31
97b15e2c,purple_58,BR,U,33
48f408aa,purple_108,AM,U,34
a4897b1e,purple_29,BR,U,30
fd22608c,green_79,CR,M,35
079f8b88,cobalt_57,PR,U,30
b84ce5c4,purple_58,AM,M,32
abcce4d1,purple_128,CR,F,35
5ec8fc00,purple_58,AM,U,32
dec745fe,purple_29,BR,U,33
e1891128,purple_58,AM,M,32
c1a56e0e,cobalt_57,PR,U,32
d3c4b212,cobalt_57,PR,U,31
752865e3,purple_128,CR,U,34
f93c8afd,cobalt_57,PR,U,32
e18ed9b8,purple_58,AM,M,33
b4f2c63f,ruby_202,CR,F,34
f8f8d76c,purple_113,CR,F,35
4d97f046,cobalt_23,PR,U,30
bd25df74,cobalt_23,PR,M,32
