file_orig,bird,batch,section,stack,dapi,neurotrace,kv11,volume,counter,include,comments
c1_2_1_40,47b60895,1,2,1,86,NA,8,71303168,lk,1,
c1_2_2_40,47b60895,1,2,2,89,NA,20,63963136,lk,1,
c1_2_3_40,47b60895,1,2,3,89,NA,11,63963136,lk,1,
c1_4_1_40,47b60895,1,4,1,47,NA,11,37748736,lk,1,hard to count total number of cells
c1_4_2_40,47b60895,1,4,2,72,NA,11,40894464,lk,1,
c1_4_3_40,47b60895,1,4,3,65,NA,13,42991616,lk,1,hard to count total number of cells
e1_3_1_40,5b2054c1,1,3,1,72,96,37,45088768,lk,1,
e1_3_2_40,5b2054c1,1,3,2,81,87,33,51380224,lk,1,
e1_3_3_40,5b2054c1,1,3,3,61,94,33,37748736,lk,1,not great DAPI staining
e1_4_1_40,5b2054c1,1,4,1,36,69,30,23068672,lk,1,not great DAPI staining
e1_4_1_40,5b2054c1,1,4,1,92,NA,39,23068672,cdm,1,not great DAPI staining
e1_4_2_40,5b2054c1,1,4,2,63,69,27,34603008,lk,1,
e1_4_3_40,5b2054c1,1,4,3,66,59,24,45088768,lk,1,
f1_1_1_40,5dadb69b,1,1,1,64,26,50,67108864,lk,1,not great DAPI/NT staining
f1_1_2_40,5dadb69b,1,1,2,37,43,30,36700160,lk,1,not great DAPI/NT staining
f1_1_3_40,5dadb69b,1,1,3,39,30,29,44040192,lk,1,not great DAPI/NT staining
f1_3_1_40,5dadb69b,1,3,1,50,55,33,54525952,lk,1,
f1_3_2_40,5dadb69b,1,3,2,57,53,36,45088768,lk,1,
f1_3_2_40,5dadb69b,1,3,2,94,NA,41,45088768,cdm,1,
f1_3_3_40,5dadb69b,1,3,3,NA,34,27,32505856,lk,0,Excluded: no DAPI count
g1_3_1_40,a6763836,1,3,1,69,37,34,46137344,lk,1,
g1_3_1_40,a6763836,1,3,1,96,NA,31,46137344,cdm,1,
g1_3_2_40,a6763836,1,3,2,54,38,38,45088768,lk,1,
g1_3_3_40,a6763836,1,3,3,39,34,29,34603008,lk,1,
g1_4_1_40,a6763836,1,4,1,28,40,27,28311552,lk,1,
g1_4_1_40,a6763836,1,4,1,64,NA,32,28311552,cdm,1,
g1_4_2_40,a6763836,1,4,2,33,43,40,36700160,lk,0,Excluded: Kv11 > DAPI
g1_4_2_40,a6763836,1,4,2,77,NA,42,36700160,cdm,0,
g1_4_3_40,a6763836,1,4,3,37,32,27,38797312,lk,1,
g1_4_3_40,a6763836,1,4,3,56,32,27,38797312,cdm,1,
h1_3_1_40,034f65a7,1,3,1,92,33,11,49283072,lk,1,
h1_3_2_40,034f65a7,1,3,2,42,NA,12,52428800,lk,1,not great DAPI/NT staining
h1_3_2_40,034f65a7,1,3,2,92,NA,16,52428800,cdm,1,
h1_3_3_40,034f65a7,1,3,3,40,NA,7,45088768,lk,1,not great DAPI/NT staining
h1_3_3_40,034f65a7,1,3,3,89,NA,12,45088768,cdm,1,
h1_6_1_40,034f65a7,1,6,1,80,34,7,55574528,lk,1,
h1_6_2_40,034f65a7,1,6,2,49,NA,5,57671680,lk,1,
h1_6_2_40,034f65a7,1,6,2,171,NA,4,57671680,cdm,1,
h1_6_3_40,034f65a7,1,6,3,51,36,11,38797312,lk,1,
a1_3_1_40,8e8125d7,3,3,1,57,NA,28,31457280,lk,1,
a1_3_2_40,8e8125d7,3,3,2,47,NA,30,30408704,lk,1,
a1_3_3_40,8e8125d7,3,3,3,53,NA,34,36700160,lk,1,
a1_6_1_40,8e8125d7,3,6,1,55,NA,38,34603008,lk,1,
a1_6_2_40,8e8125d7,3,6,2,58,NA,27,36700160,lk,1,
a1_6_3_40,8e8125d7,3,6,3,52,NA,33,39845888,lk,1,
b1_1_1_40x_23img,6fe1e1e4,3,1,1,35,NA,32,48234496,lk,1,cropped image so less bright Kv1.1 background
b1_1_1_40x_23img,6fe1e1e4,3,1,1,80,NA,40,48234496,cdm,1,
b1_1_2_40x_23img,6fe1e1e4,3,1,2,38,NA,34,48234496,lk,1,not great DAPI for all b1_1 (after background substraction)
b1_1_2_40x_23img,6fe1e1e4,3,1,2,50,NA,38,48234496,cdm,1,
