Sample,ImageNumber,Children_puncta_Count,AreaShape_Area,Density * 1000,Children_ColocalizedRegion_Count
20191226_1_1_40,2,8,3410,2.346041056,1
20191226_1_1_40,3,8,4330,1.847575058,1
20191226_1_1_40,4,5,5003,0.99940036,1
20191226_1_1_40,5,6,6688,0.897129187,1
20191226_1_1_40,6,5,6918,0.722752241,1
20191226_1_1_40,7,7,7319,0.956414811,1
20191226_1_1_40,8,7,7333,0.954588845,1
20191226_1_1_40,9,7,7586,0.922752439,1
20191226_1_1_40,10,13,7844,1.657317695,1
20191226_1_1_40,11,6,8245,0.727713766,1
20191226_1_1_40,12,6,8402,0.714115687,1
20191226_1_1_40,13,3,8632,0.347544022,1
20191226_1_1_40,14,8,8589,0.931423914,1
20191226_1_1_40,15,10,8634,1.158211721,1
20191226_1_1_40,16,16,8575,1.865889213,1
20191226_1_1_40,17,11,8391,1.310928376,1
20191226_1_1_40,18,10,8342,1.198753297,1
20191226_1_1_40,19,14,8310,1.684717208,1
20191226_1_1_40,20,12,8402,1.428231373,1
20191226_1_1_40,21,10,8655,1.155401502,1
20191226_1_1_40,22,10,8687,1.15114539,1
20191226_1_1_40,23,4,8338,0.47973135,1
20191226_1_1_40,24,5,8225,0.607902736,1
20191226_1_1_40,25,7,8118,0.86228135,1
20191226_1_1_40,26,10,8518,1.173984503,1
20191226_1_1_40,27,11,8424,1.305792972,1
20191226_1_1_40,28,7,8206,0.853034365,1
20191226_1_1_40,29,6,7756,0.773594636,1
20191226_1_1_40,30,5,6993,0.715000715,1
20191226_1_1_40,31,2,6632,0.301568154,1
20191226_1_1_40,32,4,6425,0.622568093,1
20191226_1_1_40,33,3,6286,0.477251034,1
20191226_1_1_40,34,4,5955,0.67170445,1
20191226_1_1_40,35,8,5736,1.394700139,1
20191226_1_1_40,36,3,5458,0.549651887,1
20191226_1_1_40,37,5,5518,0.906125408,1
20191226_1_1_40,38,10,6281,1.592103168,1
20191226_1_1_40,39,11,6737,1.632774232,1
20191226_1_1_40,40,6,7000,0.857142857,1
20191226_1_1_40,41,7,7070,0.99009901,1
20191226_1_1_40,42,7,7077,0.989119683,1
20191228_1_1_40,2,0,5438,0,0
20191228_1_1_40,3,0,6705,0,0
20191228_1_1_40,4,4,6517,0.613779346,1
20191228_1_1_40,5,6,7340,0.817438692,1
20191228_1_1_40,6,9,8634,1.042390549,1
20191228_1_1_40,7,14,9452,1.481168007,1
20191228_1_1_40,8,10,10295,0.971345313,1
20191228_1_1_40,9,5,10772,0.464166357,1
20191228_1_1_40,10,12,11172,1.074113856,1
20191228_1_1_40,11,16,11528,1.387925052,1
20191228_1_1_40,12,11,11668,0.9427494,1
20191228_1_1_40,13,14,12186,1.148859347,1
20191228_1_1_40,14,22,12127,1.814133751,1
20191228_1_1_40,15,20,11779,1.697937007,1
20191228_1_1_40,16,8,11121,0.71935977,1
20191228_1_1_40,17,11,10185,1.080019637,1
20191228_1_1_40,18,11,9225,1.192411924,1
20191228_1_1_40,19,10,7566,1.321702353,1
20191228_1_1_40,20,14,6525,2.14559387,1
20191228_1_1_40,21,14,6438,2.174588381,1
20191228_1_1_40,22,12,6857,1.750036459,1
20191228_1_1_40,23,13,7254,1.792114695,1
20191228_1_1_40,24,15,7408,2.024838013,1
20191228_1_1_40,25,9,7079,1.271366012,1
20191228_1_1_40,26,11,7359,1.494768311,1
20191228_1_1_40,27,18,7966,2.259603314,1
20191228_1_1_40,28,13,8677,1.498213668,1
20191228_3_1_40,7,3,3769,0.7959671,1
20191228_3_1_40,8,10,5245,1.906577693,1
20191228_3_1_40,9,3,5742,0.52246604,1
20191228_3_1_40,10,3,6159,0.48709206,1
20191228_3_1_40,11,4,7098,0.563539025,1
20191228_3_1_40,12,3,7110,0.421940928,1
20191228_3_1_40,13,4,7735,0.517129929,1
20191228_3_1_40,14,4,8260,0.484261501,1
20191228_3_1_40,15,5,8590,0.582072177,1
20191228_3_1_40,16,2,9293,0.215215754,1
20191228_3_1_40,17,7,9895,0.707427994,1
20191228_3_1_40,18,6,10508,0.570993529,1
20191228_3_1_40,19,3,11176,0.268432355,1
20191228_3_1_40,20,4,11358,0.352174679,1
20191228_3_1_40,21,4,11832,0.338066261,1
20191228_3_1_40,22,0,12237,0,0
20191228_3_1_40,23,5,12397,0.403323385,1
20191228_3_1_40,24,5,12395,0.403388463,1
20191228_3_1_40,25,8,12290,0.65093572,1
20191228_3_1_40,26,5,12621,0.396165122,1
20191228_3_1_40,27,6,12361,0.485397622,1
20191228_3_1_40,28,4,11847,0.337638221,1
20191228_3_1_40,29,5,10824,0.461936438,1
20191228_3_1_40,30,3,9032,0.332152347,1
20191228_3_1_40,31,8,8346,0.958543015,1
20191228_3_1_40,32,3,7550,0.397350993,1
20191228_3_1_40,33,2,7167,0.279056788,1
20191228_3_1_40,34,4,7653,0.522670848,1
20191228_3_1_40,35,9,8566,1.050665421,1
20191228_3_1_40,36,10,10127,0.987459267,1
20191228_3_1_40,37,7,9287,0.75374179,1
20191228_3_1_40,38,6,9510,0.630914826,1
20191228_3_1_40,39,3,9155,0.327689787,1
20191228_3_1_40,40,6,9292,0.645716746,1
20191228_3_1_40,41,6,9045,0.663349917,1
20191228_3_1_40,42,5,9518,0.525320445,1
20191228_3_1_40,43,2,7245,0.27605245,1
20191230_1_1_40,1,7,7683,0.911102434,1
20191230_1_1_40,2,8,9904,0.807754443,1
20191230_1_1_40,3,2,11533,0.173415417,1
20191230_1_1_40,4,2,11704,0.17088175,1
20191230_1_1_40,5,1,11606,0.08616233,1
20191230_1_1_40,6,2,11543,0.173265182,1
20191230_1_1_40,7,2,12804,0.156201187,1
20191230_1_1_40,8,6,14097,0.425622473,1
20191230_1_1_40,9,7,15731,0.444981247,1
20191230_1_1_40,10,6,16631,0.360772052,1
20191230_1_1_40,11,9,17523,0.513610683,1
20191230_1_1_40,12,16,18125,0.882758621,1
20191230_1_1_40,13,10,18188,0.549813064,1
20191230_1_1_40,14,9,18168,0.495376486,1
20191230_1_1_40,15,9,17969,0.500862597,1
20191230_1_1_40,16,10,18337,0.545345476,1
20191230_1_1_40,17,11,18993,0.579160743,1
20191230_1_1_40,18,9,19145,0.470096631,1
20191230_1_1_40,19,10,18839,0.530813737,1
20191230_1_1_40,20,10,18064,0.553587245,1
20191230_1_1_40,21,8,16557,0.48317932,1
20191230_1_1_40,22,8,15492,0.516395559,1
20191230_1_1_40,23,10,14563,0.686671702,1
20191230_1_1_40,24,8,13154,0.608180021,1
20191230_1_1_40,25,4,11564,0.345901072,1
20191230_1_1_40,26,5,10481,0.477053716,1
20191230_1_1_40,27,6,8726,0.687600275,1
20191230_1_1_40,28,6,7340,0.817438692,1
20191230_1_1_40,29,6,6684,0.897666068,1
20191230_1_1_40,30,7,5725,1.222707424,1
20191230_1_1_40,31,5,5159,0.969180074,1
20191230_1_1_40,32,2,3643,0.548998079,1
20191230_3_1_40,1,14,4668,2.999143102,1
20191230_3_1_40,2,12,8064,1.488095238,1
20191230_3_1_40,3,11,8370,1.314217443,1
20191230_3_1_40,4,10,7689,1.30055924,1
20191230_3_1_40,5,9,7834,1.148838397,1
20191230_3_1_40,6,8,8035,0.995644057,1
20191230_3_1_40,7,11,8794,1.250852854,1
20191230_3_1_40,8,12,10678,1.123805956,1
20191230_3_1_40,9,18,12480,1.442307692,1
20191230_3_1_40,10,20,14600,1.369863014,1
20191230_3_1_40,11,27,15934,1.69448977,1
20191230_3_1_40,12,24,16470,1.4571949,1
20191230_3_1_40,13,24,16595,1.446218741,1
20191230_3_1_40,14,22,16680,1.318944844,1
20191230_3_1_40,15,17,16482,1.031428225,1
20191230_3_1_40,16,20,16165,1.237240953,1
20191230_3_1_40,17,18,16028,1.123034689,1
20191230_3_1_40,18,14,15529,0.901539056,1
20191230_3_1_40,19,17,14471,1.17476332,1
20191230_3_1_40,20,15,13864,1.081938834,1
20191230_3_1_40,21,18,12877,1.397841112,1
20191230_3_1_40,22,15,11652,1.287332647,1
20191230_3_1_40,23,11,10835,1.015228426,1
20191230_3_1_40,24,8,9627,0.830996157,1
20191230_3_1_40,25,8,7747,1.032657803,1
20191230_3_1_40,26,10,7077,1.413028119,1
20191230_3_1_40,27,6,6553,0.91561117,1
20191230_3_1_40,28,2,4967,0.40265754,1
20191230_3_1_40,29,2,3543,0.564493367,1
20191230_6_1_40,1,3,9258,0.32404407,1
20191230_6_1_40,2,8,10194,0.784775358,1
20191230_6_1_40,3,9,13513,0.666025309,1
20191230_6_1_40,4,1,14058,0.071133874,1
20191230_6_1_40,5,11,13753,0.799825493,1
20191230_6_1_40,6,12,13165,0.911507786,1
20191230_6_1_40,7,11,13833,0.795199884,1
20191230_6_1_40,8,18,16209,1.11049417,1
20191230_6_1_40,9,15,19710,0.761035008,1
20191230_6_1_40,10,18,21240,0.847457627,1
20191230_6_1_40,11,24,22974,1.04465918,1
20191230_6_1_40,12,26,23375,1.112299465,1
20191230_6_1_40,13,44,23295,1.888817343,1
20191230_6_1_40,14,39,22984,1.696832579,1
20191230_6_1_40,15,44,22794,1.930332544,1
20191230_6_1_40,16,27,22420,1.204281891,1
20191230_6_1_40,17,22,22065,0.997054158,1
20191230_6_1_40,18,16,21495,0.744359153,1
20191230_6_1_40,19,12,19960,0.601202405,1
20191230_6_1_40,20,11,18294,0.60129004,1
20191230_6_1_40,21,4,16385,0.244125725,1
20191230_6_1_40,22,1,13868,0.072108451,1
20191230_6_1_40,23,2,11862,0.168605631,1
20191230_6_1_40,24,3,11646,0.257599176,1
20191230_6_1_40,25,2,12193,0.164028541,1
20191230_6_1_40,26,4,12254,0.326424025,1
20191230_6_1_40,27,7,12381,0.565382441,1
20191230_6_1_40,28,7,11353,0.616577116,1
20191230_6_1_40,29,4,9924,0.403063281,1
20191230_6_1_40,30,4,6743,0.593207771,1
20191230_6_1_40,31,2,9319,0.214615302,1
20191230_6_1_40,32,0,11128,0,0
20191230_6_1_40,33,4,10176,0.393081761,1
20191230_6_1_40,34,5,9661,0.517544768,1
20191230_7_1_40,1,7,3438,2.036067481,1
20191230_7_1_40,2,4,3487,1.147117866,1
20191230_7_1_40,3,5,3707,1.348799568,1
20191230_7_1_40,4,3,4522,0.663423264,1
20191230_7_1_40,5,6,7079,0.847577341,1
20191230_7_1_40,6,8,13560,0.589970501,1
20191230_7_1_40,7,12,12598,0.952532148,1
20191230_7_1_40,7,3,4785,0.626959248,1
20191230_7_1_40,8,5,13292,0.376166115,1
20191230_7_1_40,8,2,5646,0.354233085,1
