cell,epoch,condition,epoch_cond
5bd0b186,2,4ap,first
5bd0b186,3,4ap,mid
5bd0b186,4,4ap,mid
5bd0b186,5,4ap,mid
5bd0b186,6,4ap,mid
5bd0b186,7,4ap,mid
5bd0b186,8,4ap,mid
5bd0b186,9,4ap,pre
5bd0b186,12,4ap,post
f627896d,2,4ap,first
f627896d,3,4ap,mid
f627896d,4,4ap,mid
f627896d,5,4ap,pre
f627896d,12,4ap,post
8c8ee8a0,2,4ap,first
8c8ee8a0,3,4ap,mid
8c8ee8a0,4,4ap,mid
8c8ee8a0,5,4ap,mid
8c8ee8a0,6,4ap,mid
8c8ee8a0,7,4ap,pre
8c8ee8a0,10,4ap,post
a2c71415,3,4ap,first
a2c71415,4,4ap,mid
a2c71415,5,4ap,mid
a2c71415,6,4ap,mid
a2c71415,7,4ap,pre
a2c71415,10,4ap,post
a2c71415,11,4ap,mid
407dbf0e,2,4ap,first
407dbf0e,3,4ap,mid
407dbf0e,4,4ap,mid
407dbf0e,5,4ap,mid
407dbf0e,6,4ap,mid
407dbf0e,7,4ap,mid
407dbf0e,8,4ap,pre
407dbf0e,11,4ap,post
bf26c235,2,4ap,first
bf26c235,3,4ap,mid
bf26c235,7,4ap,mid
bf26c235,8,4ap,mid
bf26c235,9,4ap,pre
bf26c235,12,4ap,post
e7563e5c,2,4ap,first
e7563e5c,3,4ap,mid
e7563e5c,4,4ap,mid
e7563e5c,5,4ap,mid
e7563e5c,6,4ap,mid
e7563e5c,7,4ap,mid
e7563e5c,8,4ap,mid
e7563e5c,9,4ap,mid
e7563e5c,10,4ap,mid
e7563e5c,11,4ap,mid
e7563e5c,12,4ap,pre
e7563e5c,15,4ap,post
